Target_Row,State,Strain,HIV,Age,Target,Current,Round,Reason for Round #
0,HPV,LOW_RISK,NORMAL,<25,24.4,1.3801318984643873,0,LR is independent
1,HPV,LOW_RISK,NORMAL,25_30,11.9,0.4807192687033919,1,LR is independent
2,HPV,LOW_RISK,NORMAL,30_35,11.9,0.6659659540775931,2,LR is independent
3,HPV,LOW_RISK,NORMAL,35_40,7.9,0.48575797113267555,3,LR is independent
4,HPV,LOW_RISK,NORMAL,40_45,7.9,0.5766913018760659,4,LR is independent
5,HPV,LOW_RISK,NORMAL,45_50,15.9,1.2728475410796976,5,LR is independent
6,HPV,LOW_RISK,NORMAL,50_55,15.9,1.3211004537731994,6,LR is independent
7,HPV,LOW_RISK,NORMAL,55+,15.9,1.5343389972072143,7,LR is independent
8,HPV,LOW_RISK,HIV,<25,63.6,1.9106808697562043,1,LR is independent
9,HPV,LOW_RISK,HIV,25_30,48.1,0.312041144981318,2,LR is independent
10,HPV,LOW_RISK,HIV,30_35,48.1,0.3542792328315117,3,LR is independent
11,HPV,LOW_RISK,HIV,35_40,43.7,0.31255139198872317,4,LR is independent
12,HPV,LOW_RISK,HIV,40_45,43.7,0.35560859424414937,5,LR is independent
13,HPV,LOW_RISK,HIV,45_50,51.5,0.6003858471273681,6,LR is independent
14,HPV,LOW_RISK,HIV,50_55,51.5,0.6733461183738599,7,LR is independent
15,HPV,LOW_RISK,HIV,55+,51.5,0.7528463294090605,8,LR is independent
16,HPV,HIGH_RISK,NORMAL,<25,22.1,0.9863608409448102,0,"HPV: HR, 16, 18 go together"
17,HPV,HIGH_RISK,NORMAL,25_30,19.5,0.9348212121879751,1,"HPV: HR, 16, 18 go together"
18,HPV,HIGH_RISK,NORMAL,30_35,18.25,0.9853491271820449,6,"HPV: HR, 16, 18 go together"
19,HPV,HIGH_RISK,NORMAL,35_40,5.2,0.4098700616878856,11,"HPV: HR, 16, 18 go together"
20,HPV,HIGH_RISK,NORMAL,40_45,6.65,0.5227737308713084,16,"HPV: HR, 16, 18 go together"
21,HPV,HIGH_RISK,NORMAL,45_50,3.6,0.34697270800211977,21,"HPV: HR, 16, 18 go together"
22,HPV,HIGH_RISK,NORMAL,50_55,4.55,0.44189452511157207,26,"HPV: HR, 16, 18 go together"
23,HPV,HIGH_RISK,NORMAL,55+,3.6,0.4032241033402556,31,"HPV: HR, 16, 18 go together"
24,HPV,HIGH_RISK,HIV,<25,48.7,1.4901695033482145,1,HPV: HR HIV after HR non-HIV
